Time,Demand,Temperature,month,week,day_of_week,hour
2021-08-01 00:00:00,1.488,10.4,8,30,6,0
2021-08-01 01:00:00,1.341,9.9,8,30,6,1
2021-08-01 02:00:00,1.285,9.6,8,30,6,2
2021-08-01 03:00:00,1.229,9.3,8,30,6,3
2021-08-01 04:00:00,1.181,8.6,8,30,6,4
2021-08-01 05:00:00,1.147,8.7,8,30,6,5
2021-08-01 06:00:00,1.173,9.6,8,30,6,6
2021-08-01 07:00:00,1.073,10.9,8,30,6,7
2021-08-01 08:00:00,1.211,14.9,8,30,6,8
2021-08-01 09:00:00,1.388,17.0,8,30,6,9
2021-08-01 10:00:00,1.56,18.6,8,30,6,10
2021-08-01 11:00:00,1.608,19.2,8,30,6,11
2021-08-01 12:00:00,1.742,19.9,8,30,6,12
2021-08-01 13:00:00,1.772,20.9,8,30,6,13
2021-08-01 14:00:00,1.758,21.0,8,30,6,14
2021-08-01 15:00:00,1.797,20.9,8,30,6,15
2021-08-01 16:00:00,1.797,20.5,8,30,6,16
2021-08-01 17:00:00,1.815,18.9,8,30,6,17
2021-08-01 18:00:00,1.837,16.7,8,30,6,18
2021-08-01 19:00:00,2.219,13.7,8,30,6,19
2021-08-01 20:00:00,2.265,13.0,8,30,6,20
2021-08-01 21:00:00,2.208,11.8,8,30,6,21
2021-08-01 22:00:00,2.121,11.3,8,30,6,22
2021-08-01 23:00:00,1.856,10.4,8,30,6,23
2021-08-02 00:00:00,1.567,11.1,8,31,0,0
2021-08-02 01:00:00,1.421,10.7,8,31,0,1
2021-08-02 02:00:00,1.272,10.6,8,31,0,2
2021-08-02 03:00:00,1.247,10.6,8,31,0,3
2021-08-02 04:00:00,1.225,10.5,8,31,0,4
2021-08-02 05:00:00,1.212,10.4,8,31,0,5
2021-08-02 06:00:00,1.237,10.3,8,31,0,6
2021-08-02 07:00:00,1.385,11.2,8,31,0,7
2021-08-02 08:00:00,1.643,13.3,8,31,0,8
2021-08-02 09:00:00,1.638,16.0,8,31,0,9
2021-08-02 10:00:00,1.82,17.1,8,31,0,10
2021-08-02 11:00:00,1.86,18.4,8,31,0,11
2021-08-02 12:00:00,1.985,19.5,8,31,0,12
2021-08-02 13:00:00,1.964,19.8,8,31,0,13
2021-08-02 14:00:00,1.899,20.5,8,31,0,14
2021-08-02 15:00:00,1.977,20.2,8,31,0,15
2021-08-02 16:00:00,1.843,19.7,8,31,0,16
2021-08-02 17:00:00,1.921,18.3,8,31,0,17
2021-08-02 18:00:00,1.93,16.5,8,31,0,18
2021-08-02 19:00:00,2.304,14.4,8,31,0,19
2021-08-02 20:00:00,2.256,13.5,8,31,0,20
2021-08-02 21:00:00,2.252,12.9,8,31,0,21
2021-08-02 22:00:00,2.004,12.4,8,31,0,22
2021-08-02 23:00:00,1.756,11.8,8,31,0,23
2021-08-03 00:00:00,1.409,11.2,8,31,1,0
2021-08-03 01:00:00,1.292,11.9,8,31,1,1
2021-08-03 02:00:00,1.231,11.3,8,31,1,2
2021-08-03 03:00:00,1.175,11.3,8,31,1,3
2021-08-03 04:00:00,1.181,10.5,8,31,1,4
2021-08-03 05:00:00,1.177,9.8,8,31,1,5
2021-08-03 06:00:00,1.199,10.2,8,31,1,6
2021-08-03 07:00:00,1.344,10.9,8,31,1,7
2021-08-03 08:00:00,1.485,14.0,8,31,1,8
2021-08-03 09:00:00,1.711,17.5,8,31,1,9
2021-08-03 10:00:00,1.712,19.5,8,31,1,10
2021-08-03 11:00:00,1.772,20.8,8,31,1,11
2021-08-03 12:00:00,1.933,21.5,8,31,1,12
2021-08-03 13:00:00,1.911,21.6,8,31,1,13
2021-08-03 14:00:00,1.854,21.7,8,31,1,14
2021-08-03 15:00:00,1.766,21.6,8,31,1,15
2021-08-03 16:00:00,1.793,21.0,8,31,1,16
2021-08-03 17:00:00,1.833,19.9,8,31,1,17
2021-08-03 18:00:00,1.866,17.8,8,31,1,18
2021-08-03 19:00:00,2.324,14.6,8,31,1,19
2021-08-03 20:00:00,2.317,13.2,8,31,1,20
2021-08-03 21:00:00,2.223,12.2,8,31,1,21
2021-08-03 22:00:00,2.001,11.4,8,31,1,22
2021-08-03 23:00:00,1.72,10.6,8,31,1,23
2021-08-04 00:00:00,1.45,9.9,8,31,2,0
2021-08-04 01:00:00,1.322,9.2,8,31,2,1
2021-08-04 02:00:00,1.221,8.3,8,31,2,2
2021-08-04 03:00:00,1.159,7.6,8,31,2,3
2021-08-04 04:00:00,1.17,7.8,8,31,2,4
2021-08-04 05:00:00,1.153,8.6,8,31,2,5
2021-08-04 06:00:00,1.189,8.6,8,31,2,6
2021-08-04 07:00:00,1.334,10.7,8,31,2,7
2021-08-04 08:00:00,1.627,14.7,8,31,2,8
2021-08-04 09:00:00,1.728,17.8,8,31,2,9
2021-08-04 10:00:00,1.817,20.1,8,31,2,10
2021-08-04 11:00:00,1.934,21.7,8,31,2,11
2021-08-04 12:00:00,2.096,22.4,8,31,2,12
2021-08-04 13:00:00,2.025,22.6,8,31,2,13
2021-08-04 14:00:00,2.021,22.3,8,31,2,14
2021-08-04 15:00:00,1.996,21.8,8,31,2,15
2021-08-04 16:00:00,2.014,20.9,8,31,2,16
2021-08-04 17:00:00,1.989,19.7,8,31,2,17
2021-08-04 18:00:00,1.938,17.8,8,31,2,18
2021-08-04 19:00:00,2.333,14.6,8,31,2,19
2021-08-04 20:00:00,2.311,13.6,8,31,2,20
